matched_order	archived_outcome	innovation_seed	l2_id	l4_id	map_name	iid_outcome	ar1_outcome	iid_collision	ar1_collision	iid_repaired_collision	ar1_repaired_collision	repair_delta	iid_safe_to_collision	ar1_safe_to_collision	safe_harm_delta	iid_lost_overtake	ar1_lost_overtake	overtake_loss_delta
3	follow	3	L2:7795d90ed0545ac353887bd3337d31a2badcb0b0bfc53833bd3b028e19ad536b	L4:d5a3518b23f6f7f7d6bc135aecaf748964822ac06db6a4c3984dafcde3cee09b	Nuerburgring	follow	collision	0	1	0	0	0	0	1	1	0	0	0
4	collision	0	L2:583e9c593d6f3ceeb7525b1cc279066a8b9819acbf3ea4a2c232db94473b2c31	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	collision	collision	1	1	0	0	0	0	0	0	0	0	0
4	collision	1	L2:583e9c593d6f3ceeb7525b1cc279066a8b9819acbf3ea4a2c232db94473b2c31	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	follow	follow	0	0	1	1	0	0	0	0	0	0	0
4	collision	2	L2:583e9c593d6f3ceeb7525b1cc279066a8b9819acbf3ea4a2c232db94473b2c31	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	collision	collision	1	1	0	0	0	0	0	0	0	0	0
4	collision	3	L2:583e9c593d6f3ceeb7525b1cc279066a8b9819acbf3ea4a2c232db94473b2c31	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	follow	collision	0	1	1	0	-1	0	0	0	0	0	0
4	overtake	0	L2:5464b9cd86e3da4691814d12b52b9c36419ff1971eba54d94aff22c377d104e0	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
4	overtake	1	L2:5464b9cd86e3da4691814d12b52b9c36419ff1971eba54d94aff22c377d104e0	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
4	overtake	2	L2:5464b9cd86e3da4691814d12b52b9c36419ff1971eba54d94aff22c377d104e0	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
4	overtake	3	L2:5464b9cd86e3da4691814d12b52b9c36419ff1971eba54d94aff22c377d104e0	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	overtake	overtake	0	0	0	0	0	0	0	0	0	0	0
4	follow	0	L2:692f5996b01e5333c77b4cbad5100e852b9bdf72eb0f3f88e0a9739e1412c1a7	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	collision	collision	1	1	0	0	0	1	1	0	0	0	0
4	follow	1	L2:692f5996b01e5333c77b4cbad5100e852b9bdf72eb0f3f88e0a9739e1412c1a7	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	follow	collision	0	1	0	0	0	0	1	1	0	0	0
4	follow	2	L2:692f5996b01e5333c77b4cbad5100e852b9bdf72eb0f3f88e0a9739e1412c1a7	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	follow	collision	0	1	0	0	0	0	1	1	0	0	0
4	follow	3	L2:692f5996b01e5333c77b4cbad5100e852b9bdf72eb0f3f88e0a9739e1412c1a7	L4:2f6b987ed7e97781dc34c3b4968b436cf87c080e3db8d4d92e779e360f76acbc	MoscowRaceway	follow	collision	0	1	0	0	0	0	1	1	0	0	0
5	collision	0	L2:e89e470334115a28dd6dbb25476022236726e430cc6d5fc411b9ad74e6e9caaf	L4:7b2e2e6fbf6cb10fcaccf9855942410bca7c32b7c927b5513ca3e636e489b675	Austin	follow	follow	0	0	1	1	0	0	0	0	0	0	0
