scenario_id,startpoint,ego_idx,opponent_raceline,opponent_speed_scale,unique_policy_panels,collision_panels,collision_rate,opponent_collision_panels,merge_tail_panels,merge_tail_rate,overtake_panels,follow_panels
evaluation-sp17-ego727-raceline1-v0.8,17,727,raceline1,0.8,86,2,0.023255813953488372,0,0,0.0,0,84
evaluation-sp20-ego855-raceline1-v0.8,20,855,raceline1,0.8,86,2,0.023255813953488372,0,0,0.0,0,84
evaluation-sp21-ego898-raceline1-v0.5,21,898,raceline1,0.5,86,2,0.023255813953488372,2,0,0.0,1,83
evaluation-sp22-ego941-raceline1-v0.5,22,941,raceline1,0.5,86,2,0.023255813953488372,2,0,0.0,0,84
evaluation-sp34-ego1454-raceline2-v0.7,34,1454,raceline2,0.7,86,2,0.023255813953488372,2,0,0.0,84,0
evaluation-sp42-ego1796-raceline2-v0.8,42,1796,raceline2,0.8,86,2,0.023255813953488372,2,0,0.0,2,82
evaluation-sp45-ego1924-raceline2-v0.5,45,1924,raceline2,0.5,86,2,0.023255813953488372,2,0,0.0,84,0
evaluation-sp46-ego1967-raceline2-v0.5,46,1967,raceline2,0.5,86,2,0.023255813953488372,2,0,0.0,84,0
evaluation-sp47-ego2010-raceline1-v0.7,47,2010,raceline1,0.7,86,2,0.023255813953488372,0,0,0.0,0,84
evaluation-sp5-ego213-raceline1-v0.7,5,213,raceline1,0.7,86,2,0.023255813953488372,1,0,0.0,0,84
evaluation-sp7-ego299-raceline2-v0.5,7,299,raceline2,0.5,86,2,0.023255813953488372,2,0,0.0,84,0
evaluation-sp10-ego427-raceline2-v0.5,10,427,raceline2,0.5,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp11-ego470-raceline1-v0.5,11,470,raceline1,0.5,86,1,0.011627906976744186,1,1,0.011627906976744186,0,85
evaluation-sp14-ego598-raceline0-v0.8,14,598,raceline0,0.8,86,1,0.011627906976744186,1,1,0.011627906976744186,66,19
evaluation-sp14-ego598-raceline2-v0.7,14,598,raceline2,0.7,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp17-ego727-raceline2-v0.8,17,727,raceline2,0.8,86,1,0.011627906976744186,1,1,0.011627906976744186,8,77
evaluation-sp18-ego769-raceline2-v0.7,18,769,raceline2,0.7,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp19-ego812-raceline2-v0.7,19,812,raceline2,0.7,86,1,0.011627906976744186,1,1,0.011627906976744186,81,4
evaluation-sp2-ego85-raceline0-v0.8,2,85,raceline0,0.8,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp2-ego85-raceline2-v0.5,2,85,raceline2,0.5,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp21-ego898-raceline2-v0.7,21,898,raceline2,0.7,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp23-ego983-raceline2-v0.8,23,983,raceline2,0.8,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp24-ego1026-raceline2-v0.7,24,1026,raceline2,0.7,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp30-ego1283-raceline0-v0.8,30,1283,raceline0,0.8,86,1,0.011627906976744186,1,1,0.011627906976744186,7,78
evaluation-sp36-ego1539-raceline2-v0.8,36,1539,raceline2,0.8,86,1,0.011627906976744186,1,1,0.011627906976744186,64,21
evaluation-sp37-ego1582-raceline0-v0.5,37,1582,raceline0,0.5,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp41-ego1753-raceline2-v0.7,41,1753,raceline2,0.7,86,1,0.011627906976744186,1,1,0.011627906976744186,82,3
evaluation-sp43-ego1839-raceline2-v0.7,43,1839,raceline2,0.7,86,1,0.011627906976744186,1,1,0.011627906976744186,82,3
evaluation-sp6-ego256-raceline0-v0.6,6,256,raceline0,0.6,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp7-ego299-raceline2-v0.7,7,299,raceline2,0.7,86,1,0.011627906976744186,1,1,0.011627906976744186,85,0
evaluation-sp1-ego42-raceline1-v0.6,1,42,raceline1,0.6,86,1,0.011627906976744186,0,0,0.0,1,84
evaluation-sp11-ego470-raceline2-v0.7,11,470,raceline2,0.7,86,1,0.011627906976744186,1,0,0.0,85,0
evaluation-sp12-ego513-raceline1-v0.6,12,513,raceline1,0.6,86,1,0.011627906976744186,1,0,0.0,0,85
evaluation-sp13-ego556-raceline0-v0.7,13,556,raceline0,0.7,86,1,0.011627906976744186,1,0,0.0,85,0
evaluation-sp15-ego641-raceline1-v0.7,15,641,raceline1,0.7,86,1,0.011627906976744186,0,0,0.0,0,85
evaluation-sp17-ego727-raceline0-v0.8,17,727,raceline0,0.8,86,1,0.011627906976744186,0,0,0.0,59,26
evaluation-sp18-ego769-raceline2-v0.8,18,769,raceline2,0.8,86,1,0.011627906976744186,1,0,0.0,0,85
