run,update,formal_training_timesteps,policy_gradient_loss,value_loss_pre,value_loss_post,explained_variance_pre,explained_variance_post,collision_value_loss_pre,collision_value_loss_post,ordinary_value_loss_pre,ordinary_value_loss_post,collision_explained_variance_post,ordinary_explained_variance_post,approx_kl_mean,approx_kl_max,clip_fraction_mean,clip_fraction_max,actor_grad_norm_mean_preclip,actor_grad_norm_max_preclip,critic_grad_norm_mean_preclip,actor_optimizer_steps_completed,actor_optimizer_steps_planned,actor_early_stop_triggered,training_ego_collision_count,training_episode_count,training_collision_rate,mean_episode_return,mean_relative_position_m,mean_episode_min_obb_clearance_m,mean_episode_min_wall_clearance_m,mean_episode_risk_active_fraction,rollout_wall_seconds,actor_train_wall_seconds,critic_train_wall_seconds
ppo_privilege_gru_0721_base,4,409600,0.005776745468174339,0.12803494725243278,0.08532775202232953,0.6403170669352906,0.8212522305310981,0.1916477602299674,0.1182545149285451,0.06442213427489811,0.05240098911611396,0.7794700312331896,0.7611433245796937,0.3748586910657468,2.378282308578491,0.188012687896844,0.349921852350235,96.56992954015732,172.8115234375,1.5419982008635997,,,,68,160,0.425,-0.4101708278491877,3.297867928199827,0.269053852619832,0.4570198788093573,0.10761152214751266,93.58255148599892,17.81880844999978,53.00445629400019
ppo_privilege_gru_0721_base,5,512000,0.00018505691665721136,0.11865415632705972,0.12939849064483527,0.6682971110764591,0.8176774137772385,0.18682745070624374,0.13299286024801799,0.05048086194787568,0.1258041210416526,0.768537452957987,0.7859791521240712,0.0034106669222455817,0.02034442126750946,0.03796874889667379,0.08023437112569809,24.479503989219666,75.59945678710938,2.192218316346407,,,,52,156,0.3333333333333333,-0.2137920084170487,3.2954871800693653,0.34359694692278,0.4222158851835388,0.08726414702623558,93.65764945199771,17.668143988001248,52.59631369300041
ppo_privilege_gru_0721_base,6,614400,0.004031428864127523,0.09328875295790112,0.04627428527824841,0.7138602076673269,0.8475376182722726,0.13528161361193972,0.06702698454212544,0.0512958923038625,0.02552158601437139,0.8265588086616389,0.7914159920101751,0.030059676782693712,0.30947551131248474,0.1238818330457434,0.3153125047683716,92.1497437953949,199.40211486816406,1.4313657566905023,,,,47,153,0.30718954248366015,-0.16849197400751564,3.5627729724351367,0.36484643759641505,0.47623946525935806,0.09076917294681035,95.90374643099858,17.521783164000226,52.42464237800232
ppo_privilege_gru_0721_base,7,716800,0.000668186348912414,0.08642395322557414,0.052102615803311166,0.7360244795963866,0.8262161747941605,0.12491066493034232,0.0702727557985008,0.04793724152080596,0.03393247580812153,0.8161644210183038,0.7927693051352902,0.0028983925475040417,0.005859386641532183,0.05023925669956952,0.1145312488079071,28.915089309215546,74.66773986816406,1.4159452255815268,,,,34,141,0.24113475177304963,0.0006855048623736385,3.4354304995989757,0.4193679184287148,0.44093317495222234,0.07552729411872873,95.3674347979977,17.12025815800007,51.158744209998986
ppo_privilege_gru_0721_base,8,819200,0.00043107337429315606,0.09149235476399553,0.0430282479275363,0.6766203844370755,0.8485445320078497,0.14535107477812467,0.06491184212761297,0.03763363474986636,0.021144653727459627,0.8337398069114065,0.7935004767322192,0.06505299993601511,0.8403179049491882,0.03377929620910436,0.07640624791383743,22.823099672794342,53.36624526977539,1.1153161235153675,,,,42,150,0.28,-0.08668366518187197,3.4698324297720458,0.3868965232569633,0.4558507199922493,0.08142788613932557,96.50921833300163,17.393511350001063,52.01583822199973
ppo_privilege_gru_0721_base,9,921600,0.0018792655807192693,0.07073777515018165,0.039701072919752625,0.7407289050719778,0.8552151508769952,0.11618513843717754,0.06388103085129192,0.025290411863185768,0.015521114988213337,0.8208843136401954,0.8441277754102503,0.0036494575288088527,0.009456511586904526,0.0740087874874007,0.2560156285762787,52.55340677499771,153.24505615234375,0.8706536058336496,,,,29,141,0.20567375886524822,0.07841017143229256,3.4651198773409293,0.4252012549137078,0.4377520260520863,0.08044960516360755,95.35763881000094,16.99347412899806,51.06111754899757
ppo_privilege_gru_0721_base,10,1024000,0.0006091632679453562,0.10001307014834397,0.052228897492037234,0.6800530539406682,0.8508910048461742,0.1619492898695028,0.08066753171423968,0.03807685042718514,0.02379026326983475,0.8160247630103936,0.8163701802462926,0.002512538408918772,0.004565645940601826,0.03937988227698952,0.08374999463558197,22.495504766702652,41.701229095458984,0.7912257920950652,,,,37,148,0.25,-0.02092737955399878,3.5114551813297057,0.38888982647067954,0.44992228900080355,0.07978137209838994,94.38536826699783,17.343534029001603,51.889951765999285
ppo_privilege_gru_0721_base,11,1126400,0.0008705570633225079,0.08497909049759393,0.06341166985743188,0.7233018252607044,0.8688978809234054,0.13862949892764997,0.09126801429341574,0.031328682067537875,0.03555532542144802,0.8472972771841356,0.8451438603699606,0.08701271808386082,1.1923576593399048,0.04776855374802835,0.09804687649011612,25.19303971529007,59.85481262207031,0.7457137878984212,,,,38,147,0.2585034013605442,-0.05349601972080007,3.100978308129879,0.4419303412720181,0.44563021172771233,0.07299960325704563,93.47925484000007,17.291254455001763,51.68545332099893
ppo_privilege_gru_0721_base,12,1228800,0.000705011827230928,0.09676801809591147,0.09472771766545016,0.7537315940040399,0.8848864056065504,0.1691485441610995,0.10530822842739905,0.02438749203072347,0.08414720690350125,0.8695263237908126,0.8695269276349787,0.003874855183530597,0.008832313120365143,0.07101562229217961,0.17210936546325684,31.100108236074448,69.1482162475586,0.8619918495416641,,,,43,153,0.28104575163398693,-0.10112788789534766,3.5620945177226155,0.4114295652158303,0.45225882274095297,0.08639050208246186,93.04131509400031,17.54690409899922,52.38576265800293
ppo_privilege_gru_0721_base,13,1331200,0.0025269625512009952,0.1044029811549132,0.05022113182871055,0.7571671836546608,0.8972963822371917,0.15536381172632366,0.0740869722768796,0.053442150583502775,0.026355291380541494,0.874896198908478,0.8486752176645483,0.0049473695877532,0.01689385250210762,0.09392089593893616,0.2946093678474426,61.42187464237213,204.51153564453125,1.2584727488458156,,,,52,151,0.3443708609271523,-0.24626995981073338,2.790794524543971,0.3058932887617478,0.45285112939749406,0.0991051410301963,91.15730148500006,17.477079742999194,52.08516188900103
