panel,run,update,policy_sha256,trainable_actor_parameter_count,fixed_actor_parameter_count,actor_relative_l2_from_bc,actor_delta_rms_from_bc,actor_max_abs_delta_from_bc,gru_relative_l2_from_bc,head_relative_l2_from_bc,fixed_frontend_delta_l2,checkpoint_path
ppo_privilege_gru_0722_long45_clip020_hard_u0005,ppo_privilege_gru_0722_long45_clip020_hard,5,6b385bd648c3c6ad638e4f1b0211d2ad0544dc9c5aca32f422f99c798668ccc9,11300942,540,0.0003209849243843411,1.546196119586586e-05,0.0010546352714300156,0.00013233647688917332,0.0015955926897176867,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0005.pth
ppo_privilege_gru_0722_long45_clip020_hard_u0010,ppo_privilege_gru_0722_long45_clip020_hard,10,58f5c055c11cfa37ab19a564a9bfaae20206c353b85281b0514a05236bc97ed7,11300942,540,0.0004419804202145603,2.12903584796003e-05,0.001335039734840393,0.00018432272796331284,0.002192038181391833,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0010.pth
ppo_privilege_gru_0722_long45_clip020_hard_u0015,ppo_privilege_gru_0722_long45_clip020_hard,15,1e77acdc290f1d981471075b94a8d8729ba5835b7535f92a33d0283ecb467bcf,11300942,540,0.0005246634738915016,2.5273231413463635e-05,0.0017034783959388733,0.00022682294612719854,0.0025824243730015128,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0015.pth
ppo_privilege_gru_0722_long45_clip020_hard_u0020,ppo_privilege_gru_0722_long45_clip020_hard,20,f0a4f9ad7846088452c9bf132d9b9ce4ecc97d2a5ae75671fa4188c58cf71c9e,11300942,540,0.0006132496271890089,2.9540458814888292e-05,0.0018615350127220154,0.0002672197080438091,0.0030131583962789803,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0020.pth
ppo_privilege_gru_0722_long45_clip020_hard_u0025,ppo_privilege_gru_0722_long45_clip020_hard,25,8e426ab4c0f65228622b95c185b9285ea30e259851ffcf79dca6ea1f1f2049b5,11300942,540,0.0006743321058501835,3.2482824150636935e-05,0.0019170790910720825,0.0002979027145318523,0.0033028929823935155,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0025.pth
ppo_privilege_gru_0722_long45_clip020_hard_u0030,ppo_privilege_gru_0722_long45_clip020_hard,30,edf615650d53b489dd728fe52db3287a625fe48f5e229273359d1a71abb1498a,11300942,540,0.0007222713421498088,3.479207469517875e-05,0.002254590392112732,0.0003243475948639484,0.0035239927872744744,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0030.pth
ppo_privilege_gru_0722_long45_clip020_hard_u0035,ppo_privilege_gru_0722_long45_clip020_hard,35,d8030e3df51236ace0efad1dc4d27b775dd38c211c16c7be7be13d8f9de8b187,11300942,540,0.0007943549432107814,3.826436812017614e-05,0.0022008419036865234,0.0003559901656631486,0.0038776026743788782,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0035.pth
ppo_privilege_gru_0722_long45_clip020_hard_u0040,ppo_privilege_gru_0722_long45_clip020_hard,40,408996c560c956a23dbb3cf0ccc5214c0dd4c8cf554220026b23a4051ef6c33f,11300942,540,0.0008697330397380173,4.189535859662236e-05,0.0026152636855840683,0.0003822947405903004,0.004264930970751461,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0040.pth
ppo_privilege_gru_0722_long45_clip020_hard_u0045,ppo_privilege_gru_0722_long45_clip020_hard,45,c3d45a1ac70b54df9a28fdf30b453fb11b6617981d7e537de9ad95bfc1d7b5fd,11300942,540,0.0009331534874972777,4.495034475885086e-05,0.00306815467774868,0.0004161138579284741,0.004560575697922103,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020_hard/checkpoints/actor_u0045.pth
ppo_privilege_gru_0722_long45_clip020_u0035,ppo_privilege_gru_0722_long45_clip020,35,85e470cee27502eadd3d7a13328ba3bfce5a9a008d5dfcaf4f6a35ac89e825ab,11300942,540,0.000868257102009875,4.182426213648853e-05,0.0026628486812114716,0.00037068250161429903,0.0042852731669643755,0.0,post-trained/ppo_privilege_gru_0722_long45_clip020/checkpoints/actor_u0035.pth
