variant	case_id	startpoint_ordinal	ego_idx	opp_raceline	opp_speedscale	bc_outcome	candidate_outcome	fixed_collision	new_collision	persistent_collision	gained_overtake	lost_overtake	collision_source_variant	collision_terminal_distance_m	collision_relative_progress_m	collision_phase_inferred	collision_cause_inferred	collision_final_time_s	label	history_policy	history_steps	last_0.5s_steer_signed_mean	last_0.5s_steer_abs_mean	last_0.5s_steer_abs_max	last_0.5s_speed_signed_mean	last_0.5s_speed_abs_mean	last_0.5s_speed_abs_max	last_1s_steer_signed_mean	last_1s_steer_abs_mean	last_1s_steer_abs_max	last_1s_speed_signed_mean	last_1s_speed_abs_mean	last_1s_speed_abs_max
seed1_iter20	sp01_ol2_s0.8	1	42	raceline2	0.8	collision	following	1	0	0	0	0	BC	0.35093116780468864	0.05448150634765625	alongside	opponent_proximity_inferred	7.260000228881836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp02_ol0_s0.8	2	85	raceline0	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp02_ol2_s0.8	2	85	raceline2	0.8	collision	following	1	0	0	0	0	BC	0.3813469129083791	-0.22188949584960938	alongside	opponent_proximity_inferred	5.769999980926514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp03_ol0_s0.8	3	128	raceline0	0.8	overtaking	collision	0	1	0	0	1	seed1_iter20	0.3201430471527814	-0.021137237548828125	alongside	opponent_proximity_inferred	6.320000171661377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp03_ol2_s0.8	3	128	raceline2	0.8	collision	overtaking	1	0	0	1	0	BC	0.41194355606988514	0.19910049438476562	alongside	opponent_proximity_inferred	4.409999847412109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp05_ol0_s0.7	5	213	raceline0	0.7	collision	overtaking	1	0	0	1	0	BC	0.4921882433463779	-0.3994941711425781	alongside	opponent_proximity_inferred	3.309999942779541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp06_ol0_s0.8	6	256	raceline0	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp06_ol1_s0.5	6	256	raceline1	0.5	overtaking	collision	0	1	0	0	1	seed1_iter20	0.5581985879591099	-0.486480712890625	alongside	opponent_proximity_inferred	2.9100000858306885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp06_ol2_s0.7	6	256	raceline2	0.7	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp07_ol0_s0.8	7	299	raceline0	0.8	overtaking	collision	0	1	0	0	1	seed1_iter20	0.4833522072664771	-0.3644866943359375	alongside	opponent_proximity_inferred	5.369999885559082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp07_ol2_s0.8	7	299	raceline2	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp08_ol0_s0.7	8	342	raceline0	0.7	overtaking	collision	0	1	0	0	1	seed1_iter20	0.4477144037645256	-0.3566741943359375	alongside	opponent_proximity_inferred	5.070000171661377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp09_ol0_s0.7	9	384	raceline0	0.7	collision	following	1	0	0	0	0	BC	0.34130713760214765	-0.07282257080078125	alongside	opponent_proximity_inferred	7.389999866485596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp09_ol2_s0.7	9	384	raceline2	0.7	overtaking	collision	0	1	0	0	1	seed1_iter20	0.477684110836919	-0.3707275390625	alongside	opponent_proximity_inferred	7.920000076293945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp10_ol0_s0.7	10	427	raceline0	0.7	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp10_ol1_s0.5	10	427	raceline1	0.5	following	collision	0	1	0	0	0	seed1_iter20	0.6311251355845369	0.6188583374023438	ego_behind	opponent_proximity_inferred	4.539999961853027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp11_ol0_s0.8	11	470	raceline0	0.8	overtaking	collision	0	1	0	0	1	seed1_iter20	0.4671838548054192	-0.3608245849609375	alongside	opponent_proximity_inferred	7.440000057220459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp11_ol2_s0.8	11	470	raceline2	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp12_ol0_s0.8	12	513	raceline0	0.8	collision	overtaking	1	0	0	1	0	BC	0.329081021188587	-0.102081298828125	alongside	opponent_proximity_inferred	5.869999885559082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp12_ol2_s0.8	12	513	raceline2	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp13_ol0_s0.8	13	556	raceline0	0.8	collision	following	1	0	0	0	0	BC	0.510569843620172	-0.4024200439453125	alongside	opponent_proximity_inferred	7.050000190734863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp13_ol2_s0.8	13	556	raceline2	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp15_ol0_s0.8	15	641	raceline0	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp15_ol2_s0.8	15	641	raceline2	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp16_ol0_s0.7	16	684	raceline0	0.7	overtaking	collision	0	1	0	0	1	seed1_iter20	0.5636295508443645	-0.4791412353515625	alongside	opponent_proximity_inferred	3.240000009536743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp16_ol1_s0.7	16	684	raceline1	0.7	following	collision	0	1	0	0	0	seed1_iter20	1.2196067038781522	0.8611602783203125	ego_behind	wall_inferred	5.070000171661377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp17_ol0_s0.5	17	727	raceline0	0.5	collision	overtaking	1	0	0	1	0	BC	1.7854710262425442	1.1380462646484375	ego_behind	wall_inferred	2.2300000190734863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp17_ol0_s0.8	17	727	raceline0	0.8	overtaking	following	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp17_ol1_s0.5	17	727	raceline1	0.5	collision	following	1	0	0	0	0	BC	0.6312862086269377	0.5849761962890625	alongside	opponent_proximity_inferred	2.4200000762939453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seed1_iter20	sp17_ol2_s0.6	17	727	raceline2	0.6	overtaking	collision	0	1	0	0	1	seed1_iter20	0.6264055708514078	-0.565338134765625	alongside	opponent_proximity_inferred	2.569999933242798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
